Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),18,Instituto De Seguridad Y De Servicios Sociales Para Los Trabajadores Del Estado Issste
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),9,Instituto Mexicano Del Seguro Social
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),57,"Instituto Nacional De Cardiología ""Ignacio Chavez"""
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),6,Instituto Nacional De Cardiología Ignacio Chávez
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),11,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran"""
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),15,Instituto Nacional De Diagnóstico Y Referencia Epidemiológica
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),30,Instituto Nacional De Medicina Genómica (Inmegen)
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),14,Instituto Nacional De Neurologia Y Neurocirugia
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),26,"Instituto Nacional De Neurología Y Neurocirugía ""Manuel Velasco Suárez"""
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),18,Instituto Nacional De Pediatría
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),5,Instituto Nacional De Referencia Epidemiológica
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),42,Instituto Nacional De Rehabilitación
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),15,Instituto Nacional De Salúd Pública
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),15,Instituto Politécnico Nacional I.P.N.
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),5,Instituto Tecnologico De Morelia
,6,Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav) Irapuato
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),6,Laboratorio Central De Líquido Cefalorraquídeo (Labcel) Facultad De Ciencias Médicas Dr. Miguel Enríquez La Habana  Cuba
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),4,Laboratorio De Bioquímica Y Patofisiología Del Cerebro Cebtro Alzheimer Centro Psiquiátrico De Praga República Checa
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),18,Laboratorio Multidiciplinario De Graduados De La Escuela Militar De Graduados De Sanidad
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),6,Laboratorios Silanes Sa De Cv
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),7,Medingenium Sa De Cv
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),5,Petroleos Mexicanos
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),45,Programa De Recuperación Del Berrendo Peninsular Campamento La Choya Guerrero Negro Municipio De Mulegé Baja California Sur
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),8,Secretaría De Salud
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),15,Secretaría De Salud Del Estado De México
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),10,Servicio Médico Forense Del Tribunal Superior De Justicia Del Distrito Federal
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),7,Servicios De Salud De Yucatán
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),4,Uach
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),7,Unidad De Investigación En Inmunodeficiencias Instituto Nacional De Pediatría. Ssa.
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),8,Universidad Autónoma De Chihuahua
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),20,Universidad Autónoma De Guadalajara
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),10,Universidad Autónoma De Guerrero
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),8,Universidad Autónoma De La Ciudad De México
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),20,Universidad Autónoma Del Valle De Ecatepec
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),10,Universidad Autónoma De Mexico
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),26,Universidad Autónoma De Nuevo León
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),30,Universidad Autónoma De San Luis Potosí
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),9,Universidad Autónoma De Yucatán
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),8,Universidad Cayetano Heredia Lima Peru.
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),8,Universidad De Guadalajara
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),9,Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),5,Universidad De La República De Uruguay
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),6,Universidad Del Valle De Atemajac
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),5,Universidad De Sao Pablo Banco De Cerebros Del Gpo De Estudio Del Envejecimiento De Brasil Sau Pablo  Brasil
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),12,Universidad Iberoamericana A.C.
Centro De Investigación Y De Estudios Avanzados Del I.P.N. (Cinvestav),9,Universidad Nacional Autónoma De México Unam
